,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
903,3.0,4.0,305,13
904,3.0,4.0,361,22
905,3.0,4.0,309,22
906,3.0,4.0,305,22
907,3.0,4.0,361,62
908,3.0,4.0,309,62
909,3.0,4.0,305,62
910,3.0,4.0,361,71
911,3.0,4.0,309,71
912,3.0,4.0,305,71
913,3.0,4.0,361,40
914,3.0,4.0,309,40
915,3.0,4.0,305,40
916,3.0,4.0,361,61
917,3.0,4.0,309,61
918,3.0,4.0,305,61
919,3.0,4.0,361,13
920,3.0,4.0,309,13
921,3.0,4.0,305,13
922,3.0,4.0,361,22
923,3.0,4.0,309,22
924,3.0,4.0,305,22
925,3.0,4.0,361,62
926,3.0,4.0,309,62
927,3.0,4.0,305,62
928,3.0,4.0,361,71
929,3.0,4.0,309,71
930,3.0,4.0,305,71
931,3.0,4.0,361,40
932,3.0,4.0,309,40
933,3.0,4.0,305,40
934,3.0,4.0,361,61
935,3.0,4.0,309,61
936,3.0,4.0,305,61
937,3.0,4.0,361,13
938,3.0,4.0,309,13
939,3.0,4.0,305,13
940,3.0,4.0,361,22
941,3.0,4.0,309,22
942,3.0,4.0,305,22
943,3.0,4.0,361,62
944,3.0,4.0,309,62
945,3.0,4.0,305,62
946,9.0,4.0,68,46
947,9.0,4.0,68,92
948,9.0,4.0,68,46
949,9.0,4.0,68,92
950,9.0,4.0,68,46
951,9.0,4.0,68,92
952,3.0,4.0,361,71
953,3.0,4.0,309,71
954,3.0,4.0,305,71
955,3.0,4.0,361,40
956,3.0,4.0,309,40
957,3.0,4.0,305,40
958,3.0,4.0,361,61
959,3.0,4.0,309,61
960,3.0,4.0,305,61
961,3.0,4.0,361,13
962,3.0,4.0,309,13
963,3.0,4.0,305,13
964,3.0,4.0,361,22
965,3.0,4.0,309,22
966,3.0,4.0,305,22
967,3.0,4.0,361,62
968,3.0,4.0,309,62
969,3.0,4.0,305,62
970,20.0,5.0,292,40
971,20.0,5.0,18,40
972,20.0,5.0,145,40
973,20.0,5.0,292,61
974,20.0,5.0,18,61
975,20.0,5.0,145,61
976,20.0,5.0,292,13
977,20.0,5.0,18,13
978,20.0,5.0,145,13
979,20.0,5.0,292,22
980,20.0,5.0,18,22
981,20.0,5.0,145,22
982,20.0,5.0,292,62
983,20.0,5.0,18,62
984,20.0,5.0,145,62
